id,title,author,genre,publisher,year
19199,The Yellow Meads of Asphodel,Carolyne West,Classic,Mainstream Publishing,2009
19398,From Here to Eternity,"Rep. Heath Stiedemann, Gino Welch, Haydee Larson",Short story,Vintage Books,2001
19483,Eyeless in Gaza,Vannessa Price,Biography/Autobiography,Pavilion Books,1886
19506,Precious Bane,Miss Yong Wyman,Realistic fiction,New English Library,2021
19570,City of God,Travis Moore,Suspense/Thriller,Bellevue Literary Press,1847
19264,The Way of All Flesh,Matthew Breitenberg,Legend,Unknown,1987
19210,3 Idiots,Julianne Keeling,Folklore,McFarland & Company,1992
19536,Memento,Alina Oberbrunner,Essay,Bowes & Bowes,1982
18997,Terrible Swift Sword,Roni Davis,Crime/Detective,Burns & Oates,1983
19166,Myst,Laverne Lemke,Legend,Mark Batty Publisher,2002
19473,That Hideous Strength,Eli Okuneva DC,Tall tale,Marshall Pickering,2024
19256,Overwatch,"Everett Heller, Caroline Mayer, Camelia Huels",Mythopoeia,Parachute Publishing,1987
18970,Halo 4,Eli Okuneva DC,Tall tale,Black Dog Publishing,2012
19326,Forrest Gump,Efren Bayer V,Fairy tale,Hawthorne Books,1997
18940,Dulce et Decorum Est,Prof. Anastacia Howe,Science fiction,Cengage Learning,2025
19459,"Look Homeward, Angel",Thurman Bruen,Crime/Detective,Ladybird Books,1985
19359,Tiger! Tiger!,Nichole Wiza,Narrative nonfiction,Salt Publishing,2002
19265,Happy Nation,"Fran Ritchie, Rebecca Torp",Mystery,Target Books,2021
18967,A Farewell to Arms,Basil Tremblay,Fiction in verse,Basic Books,2024
19476,Million Dollar Baby,Tyler Schneider,Fairy tale,No Starch Press,2014
18915,The Departed,Patience Kautzer,Fiction narrative,Faber and Faber,1987
19331,Consider Phlebas,"Fr. Jeremiah Larson, Ms. Chris Paucek",Crime/Detective,E. P. Dutton,1991
19299,Nevermind,"Awilda Sauer Sr., Amos Schaden VM, Jenniffer Greenholt",Textbook,Godwit Press,1999
18907,Call of Duty: Modern Warfare Remastered,Hosea Monahan,Fable,T & T Clark,1980
19258,The Waste Land,Alanna Mayer,Fiction in verse,Bella Books,1990
19307,Sgt. Pepper's Lonely Hearts Club Band,Gov. Luella Konopelski,Folklore,HMSO,2006
19500,Hotel California,Delbert Emmerich II,Legend,Book League of America,1984
19145,Dangerous,Jeffrey Cassin,Crime/Detective,Darakwon Press,1972
19207,Infinite Jest,"Elia Bartell, Brice Prohaska MD, Jerald Kreiger",Fiction narrative,NavPress,2014
18920,Stalker,Travis Moore,Folklore,Tarpaulin Sky Press,1990
18839,Scarface,Jane Wiegand,Folklore,Carlton Books,2021
19427,Command & Conquer: Generals,"Denisha Cassin, Del Kautzer, Garfield Blick, Olin Windler",Narrative nonfiction,Seagull Books,1984
19515,The Departed,Patience Kautzer,Fiction narrative,Heyday Books,2007
19323,Left 4 Dead 2,"Darnell Lakin, Tandra Ebert",Science fiction,University of Nebraska Press,1980
19213,Touch of Evil,Asa Rogahn,Classic,Matthias Media,1905
19562,Gran Torino,"Sam Langosh, Charlie Labadie LLD",Legend,Tachyon Publications,1983
19200,"Alone on a Wide, Wide Sea",Darwin Goodwin,Horror,Cengage Learning,2018
19241,Clannad,"Lynn Leffler, Brady Mante",Speech,Simon & Schuster,2007
19353,A Clockwork Orange,Fr. Kacy Reilly,Fiction in verse,UCL Press,2006
19184,All We Know Is Falling,Pres. Doug Donnelly,Textbook,Churchill Livingstone,1923
18911,Jurassic Park,"Burl West, Lynna Kub, Merlin Nikolaus",Crime/Detective,Target Books,2005
18937,Call of Duty: Black Ops II,Leopoldo Rogahn,Classic,City Lights Publishers,2001
19117,Double Indemnity,"Gov. Lovella Grimes, Boyd Schamberger",Mystery,Blue Ribbon Books,2026
19249,Tirra Lirra by the River,Lynwood Rau,Fiction in verse,Allen Ltd,2018
19115,Songs About Jane,Miss Yong Wyman,Biography/Autobiography,Caister Academic Press,2009
19259,The Apartment,Myung Boehm,Mythopoeia,Applewood Books,2007
19063,Prisoners,"Denisha Cassin, Garfield Blick, Olin Windler",Mythopoeia,Harvard University Press,1990
18980,Pokémon Blue,Arlinda Huel,Tall tale,Book Works,1845
18996,The Mirror Crack'd from Side to Side,Mr. Keenan Frami,Mystery,Haynes Manuals,1980
19541,The Golden Bowl,Laverne Lemke,Folklore,Legend Books,1979
19587,Pokémon Red,"Denisha Cassin, Garfield Blick, Olin Windler",Folklore,"Harry N. Abrams, Inc.",1988
18921,Halo 2,"Pres. Thanh Harber, Elliot Gerhold, Bette Berge Jr.",Fairy tale,Zondervan,1979
19327,God of War,Doyle Hahn II,Fiction narrative,Harvard University Press,1834
19142,A Time of Gifts,"Fran Ritchie, Rebecca Torp",Crime/Detective,Carlton Books,1982
